facility_id,clean_name,clean_type,clean_parish,clean_capacity,licence_issue_date,inspection_date,lat,lon,remarks
4158,Abbott And Sons,Unknown,St. Andrew,,2019-05-02,,12.88159,-59.05226,Needs upgrade
HF-0964,Abbott And Sons,Hospital,St. Joseph,259.0,2023-12-26,,12.90995,-58.96064,
3,"Abbott, Lowery And Parrish Medical Center",Polyclinic,St. Joseph,132.0,2019-12-17,,12.73557,-59.00063,♥
#4562,"Abbott, Terry And Hendrix Health Centre",Community Health Centre,St. Andrew,,2018-12-25,,12.9129,-59.29663,
6903,Abbott-Montgomery Infirmary,Clinic,St. Peter,312.0,2019-09-27,2019-10-03,,,Good
HF-2278,Abbott-Roman Health Centre,Clinic,St. George,,2021-09-25,,13.25985,-58.91471,Needs upgrade
#4014,Acevedo Ltd,Community Health Centre,St. James,,2022-06-12,,13.27163,-58.86784,Good
c7c617,"Acevedo, Hall And Kelly Clin",Polyclinic,St. Peter,,2017-03-10,,,,Reinspection due
9,"Acevedo, Pierce And Campbell Hospital",Community Health Centre,St. George,140.0,2017-02-19,,13.19943,-58.85743,
453,Acevedo-Carr Medical Center,Community Health Centre,St. Andrew,100.0,2020-02-01,,12.95591,-58.99932,Reinspection due
4279,Acevedo-Cohen Hosp,Other,St. John,407.0,2021-08-03,2024-02-17,,,Reinspection due
HF-1908,Acosta Inc Health Centre,Unknown,Christ Church,158.0,2019-12-18,,13.09158,-59.21254,
780,"Acosta, Bailey And Smith Hosp",Hospital,St. George,71.0,2020-07-17,,,,-
HF-1586,"Acosta, Clayton And Patel",Hospital,St. Michael,,2023-03-24,,12.98096,-59.00641,♥
15,"Acosta, Serrano And Alexander Medical Center",Unknown,St. Joseph,,2018-09-21,2023-12-24,12.73076,-59.27255,
1678,Acosta-Atkins Hospital,Hospital,St. Joseph,157.0,2016-08-09,,12.77407,-58.80806,
17,Acosta-Thomas Infirmary,Clinic,St. Andrew,473.0,2021-09-17,,12.97663,-58.89596,♥
02300,Adams Group Clin,Clinic,St. Lucy,117.0,2022-11-26,,13.27727,-58.92294,Good
19,Adams Inc Clin,Clinic,St. Michael,154.0,2023-09-29,,12.79049,-58.76224,
HF-0405,Adams Inc Hosp,Polyclinic,St. Andrew,,2020-06-01,,,,♥
HF-8752,Adams Llc,Polyclinic,St. Michael,10.0,2023-10-18,,12.92979,-59.20936,Follow-up 2023
22,Adams Llc Polyclinic,Hospital,St. Andrew,484.0,2023-11-08,2024-07-29,13.11595,-59.02981,
03591,Adams Plc,Community Health Centre,St. John,10.0,2016-06-14,,13.25345,-58.72335, 
4551,Adams Plc Clinic,Clinic,St. John,290.0,2018-08-10,,13.17917,-58.83459, 
69a8bd,Adams Plc Hospital,Community Health Centre,St. Joseph,10.0,,,13.17585,-58.95587,♥
64962b,"Adams, Campbell And Dominguez",Polyclinic,St. Andrew,111.0,2025-03-19,,13.18666,-59.00272,-
00697,"Adams, Craig And Delgado Hosp",Polyclinic,St. George,,2025-05-18,,,,
6138,"Adams, Garrison And Baker Hosp",Clinic,St. James,65.0,2022-01-19,,13.02154,-59.07936,Follow-up 2023
05292,"Adams, Gilbert And Harmon Infirmary",Community Health Centre,St. George,49.0,2020-03-26,,,,Follow-up 2023
05038,"Adams, Hill And Williams Hosp",Community Health Centre,St. Michael,10.0,2024-02-18,,,,Needs upgrade
4829,"Adams, Morris And Barber",Other,St. Michael,94.0,2022-03-04,,13.26392,-59.28429,
08041,"Adams, Myers And Santos Hosp",Polyclinic,St. Andrew,187.0,2023-08-12,,,,-
33,"Adams, Ramos And Castillo",Hospital,St. George,10.0,2016-03-31,,12.95072,-58.98249,Needs upgrade
34,"Adams, Soto And Guzman Medical Center",Community Health Centre,St. Andrew,473.0,2025-08-03,,13.25048,-58.7404,Needs upgrade
799370,"Adams, Watson And Summers Health Centre",Other,St. Michael,,2019-05-16,,13.02258,-59.17715,Follow-up 2023
HF-4298,"Adams, Weber And Velasquez",Other,St. Joseph,10.0,2023-02-12,2023-01-05,13.10326,-59.01278, 
49378e,"Adams,-Carr-And-Johnson Clin",Clinic,St. Joseph,284.0,2016-11-30,,,,♥
38,"Adams,-Hurley-And-Hill Hosp",Clinic,St. Andrew,10.0,2022-11-25,,12.84123,-59.12032,Reinspection due
HF-0025,"Adams,-Silva-And-Davidson Medical Center",Unknown,St. George,99.0,2021-09-03,,13.11901,-59.06883,-
40,Adams-Anderson,Clinic,St. Andrew,273.0,2024-02-28,,12.87856,-59.04716,Reinspection due
41,Adams-Baker,Unknown,St. Joseph,256.0,2020-12-10,,13.27308,-59.26071,
HF-0117,Adams-Curry Hosp,Unknown,St. Michael,43.0,2018-10-22,,13.09176,-59.19394, 
43,Adams-Davidson,Other,St. Andrew,,2019-01-20,,13.02749,-58.70024,
8163,Adams-Davis,Community Health Centre,St. Michael,,2020-06-17,,12.72593,-59.11539,
#3444,Adams-Gould Polyclinic,Clinic,Christ Church,497.0,2021-05-16,,12.78264,-58.91478,
07606,Adams-Juarez,Clinic,St. John,180.0,2018-01-07,,,,Follow-up 2023
#9589,Adams-Monroe Clinic,Hospital,St. John,,2023-09-27,,13.01636,-58.80329,Good
#4356,Adams-Plc,Community Health Centre,St. Michael,129.0,2017-04-04,,12.81643,-58.98258,Needs upgrade
04409,Adams-Rodriguez Polyclinic,Hospital,St. James,140.0,2017-04-29,,13.08355,-59.08079,Follow-up 2023
5602,Adams-Shaw,Unknown,St. George,55.0,,,13.11608,-58.72923,
51,Adams-Spencer,Hospital,St. Michael,,2016-04-05,,,,Good
#6053,Adams-Stevens,Community Health Centre,St. Andrew,188.0,2017-08-28,,,,Follow-up 2023
#4402,Adams-Winters Polyclinic,Polyclinic,St. Lucy,194.0,2023-12-15,,13.06527,-58.90119,
HF-8535,Adkins-Allen Clinic,Other,St. George,48.0,2025-11-21,,13.1431,-58.83453,Good
55,Adkins-Bolton Polyclinic,Clinic,St. Lucy,137.0,2016-09-20,,13.05,-58.71041,
05161,Adkins-David,Other,St. Joseph,,2020-10-16,,,,
57,Adkins-Inc Health Centre,Community Health Centre,Christ Church,23.0,2018-07-03,,13.27228,-59.27966,♥
07082,Adkins-Jones Hospital,Community Health Centre,St. James,60.0,2021-04-09,,12.92201,-58.84548,-
HF-7537,Aguilar Ltd,Hospital,St. Michael,8.0,2019-04-06,,,,
HF-1455,Aguilar Plc Hosp,Community Health Centre,St. Michael,,2022-12-16,,12.98704,-58.90431, 
61,"Aguilar, Benjamin And Rogers Health Centre",Polyclinic,St. John,213.0,2019-07-15,,,,Needs upgrade
08307,"Aguilar, Brooks And Allen",Clinic,St. Michael,120.0,2020-04-28,2019-07-15,,,
#6093,"Aguilar, Rice And Stanley Clinic",Clinic,St. John,,2017-09-21,,13.12037,-58.97275,Reinspection due
4497,"Aguilar, Schultz And Leonard Hosp",Other,St. Michael,,2025-10-13,2024-08-10,12.80532,-58.7231, 
da2f6b,"Aguilar, Simon And West Hosp.",Clinic,St. Michael,,2021-04-24,2020-12-15,13.02004,-58.79046,♥
313,"Aguilar, West And White",Clinic,St. Peter,,2020-08-15,,12.86355,-58.80355,-
67,"Aguilar,-Knapp-And-Clayton Clinic",Clinic,St. Andrew,10.0,2016-02-06,,13.1349,-58.79714,♥
HF-4136,Aguilar-Carroll Health Centre,Hospital,St. Joseph,,2021-04-25,,13.19782,-59.03996,-
04858,Aguilar-Garza,Clinic,St. Andrew,,2019-05-24,,12.72582,-59.28927,
HF-7151,Aguilar-Parker Medical Center,Polyclinic,St. Peter,10.0,2018-02-07,,12.93028,-58.78491,Reinspection due
07758,Aguilar-Ramirez Hospital,Clinic,St. John,409.0,2019-11-20,2022-12-01,,,-
#2604,Aguilar-Sanchez Infirmary,Hospital,St. Michael,216.0,2020-04-15,,13.10554,-59.02529,-
ce50dd,Aguilar-Williams Infirmary,Polyclinic,Christ Church,212.0,2018-12-21,,12.84201,-59.19897,Reinspection due
74,Aguirre Inc Hospital,Polyclinic,St. John,,2021-05-01,2025-04-30,,,Needs upgrade
09710,"Aguirre, Garza And Mcguire Medical Center",Unknown,St. Joseph,,2016-08-03,,,,Reinspection due
HF-7939,"Aguirre, Hunter And Glenn Infirmary",Community Health Centre,Christ Church,298.0,2023-03-02,,,,Reinspection due
07970,"Aguirre, Olson And Duarte Health Centre",Hospital,St. Peter,493.0,2017-09-09,,13.01027,-59.10087,-
#4679,"Aguirre, Wang And Wall Infirmary",Community Health Centre,St. George,417.0,2017-02-26,,,,Good
7751,Aguirre-Thompson Hosp,Clinic,St. Peter,,2017-09-06,2019-02-08,12.96407,-58.79022,-
80,Alexander Group Clinic,Community Health Centre,St. Michael,167.0,2020-07-08,,,,♥
1255,Alexander Group Hospital,Polyclinic,St. Michael,418.0,2017-08-11,,12.78439,-59.10829,-
9902,Alexander Llc Infirmary,Clinic,St. James,413.0,2023-06-30,,13.08251,-58.98977,
83,Alexander Llc Polyclinic,Clinic,St. Andrew,10.0,2024-09-21,,,,Follow-up 2023
84,Alexander Ltd,Hospital,St. Joseph,331.0,2022-06-25,,,,
85,"Alexander, Cox And Davis",Unknown,St. George,452.0,2020-05-03,,12.7957,-59.1732,
